libraryId	experimentId	speciesId
SRX1464631	SRP067001	9913
SRX1464632	SRP067001	9913
SRX1464633	SRP067001	9913
SRX1464634	SRP067001	9913
SRX1464635	SRP067001	9913
SRX1464636	SRP067001	9913
SRX1464637	SRP067001	9913
SRX1464638	SRP067001	9913
SRX1464639	SRP067001	9913
SRX1464640	SRP067001	9913
SRX1464641	SRP067001	9913
SRX1464642	SRP067001	9913
SRX1464643	SRP067001	9913
SRX1464644	SRP067001	9913
SRX1464645	SRP067001	9913
SRX1464646	SRP067001	9913
SRX1464647	SRP067001	9913
SRX1464648	SRP067001	9913
SRX1464649	SRP067001	9913
SRX1464650	SRP067001	9913
SRX1464651	SRP067001	9913
SRX1464652	SRP067001	9913
SRX1464653	SRP067001	9913
SRX1464654	SRP067001	9913
SRX1464655	SRP067001	9913
SRX1464656	SRP067001	9913
SRX1464657	SRP067001	9913
SRX1464658	SRP067001	9913
SRX1464659	SRP067001	9913
SRX1464660	SRP067001	9913
SRX1464661	SRP067001	9913
SRX1464662	SRP067001	9913
SRX1464663	SRP067001	9913
SRX1464664	SRP067001	9913
SRX1464665	SRP067001	9913
SRX1464666	SRP067001	9913
SRX1464667	SRP067001	9913
SRX1464668	SRP067001	9913
SRX1464669	SRP067001	9913
SRX1464670	SRP067001	9913
SRX1464671	SRP067001	9913
SRX1464672	SRP067001	9913
SRX1464673	SRP067001	9913
SRX1464674	SRP067001	9913
SRX1464675	SRP067001	9913
SRX1464676	SRP067001	9913
SRX1464677	SRP067001	9913
SRX1464678	SRP067001	9913
SRX1464679	SRP067001	9913
SRX1464680	SRP067001	9913
SRX1464681	SRP067001	9913
SRX1464682	SRP067001	9913
SRX1464683	SRP067001	9913
SRX1464684	SRP067001	9913
SRX1464685	SRP067001	9913
SRX1464686	SRP067001	9913
SRX1464687	SRP067001	9913
SRX1464688	SRP067001	9913
SRX1464689	SRP067001	9913
SRX1464690	SRP067001	9913
SRX1464691	SRP067001	9913
SRX1464692	SRP067001	9913
SRX1464693	SRP067001	9913
SRX1464694	SRP067001	9913
SRX1464695	SRP067001	9913
SRX1464696	SRP067001	9913
SRX1464697	SRP067001	9913
SRX1464698	SRP067001	9913
SRX1464699	SRP067001	9913
SRX1464700	SRP067001	9913
SRX1464702	SRP067001	9913
SRX1464703	SRP067001	9913
SRX1464704	SRP067001	9913
SRX1464705	SRP067001	9913
SRX1464706	SRP067001	9913
SRX1464707	SRP067001	9913
SRX1464708	SRP067001	9913
SRX1464709	SRP067001	9913
SRX1464710	SRP067001	9913
SRX1464711	SRP067001	9913
SRX1464712	SRP067001	9913
SRX1464713	SRP067001	9913
SRX1464714	SRP067001	9913
SRX1464715	SRP067001	9913
SRX1464716	SRP067001	9913
SRX1464717	SRP067001	9913
SRX1812277	SRP075939	9913
SRX1812278	SRP075939	9913
SRX1812279	SRP075939	9913
SRX1812280	SRP075939	9913
SRX1812281	SRP075939	9913
SRX1812282	SRP075939	9913
SRX1812283	SRP075939	9913
SRX1812285	SRP075939	9913
SRX1812286	SRP075939	9913
SRX1812287	SRP075939	9913
SRX1812288	SRP075939	9913
SRX1812289	SRP075939	9913
SRX1812290	SRP075939	9913
SRX1812291	SRP075939	9913
SRX1812292	SRP075939	9913
SRX1812293	SRP075939	9913
SRX1812294	SRP075939	9913
SRX1812296	SRP075939	9913
SRX1812297	SRP075939	9913
SRX1812298	SRP075939	9913
SRX1812299	SRP075939	9913
SRX1812300	SRP075939	9913
SRX1812301	SRP075939	9913
SRX1812302	SRP075939	9913
SRX1812303	SRP075939	9913
SRX1812304	SRP075939	9913
SRX1812305	SRP075939	9913
SRX1812306	SRP075939	9913
SRX1812307	SRP075939	9913
SRX1812308	SRP075939	9913
SRX1812309	SRP075939	9913
SRX1812311	SRP075939	9913
SRX1812312	SRP075939	9913
SRX1812313	SRP075939	9913
SRX1812314	SRP075939	9913
SRX1812315	SRP075939	9913
SRX1812316	SRP075939	9913
SRX1812317	SRP075939	9913
SRX1812318	SRP075939	9913
SRX1812319	SRP075939	9913
SRX1812320	SRP075939	9913
SRX1812321	SRP075939	9913
SRX1812322	SRP075939	9913
SRX1812323	SRP075939	9913
SRX1812325	SRP075939	9913
SRX1812326	SRP075939	9913
SRX1812327	SRP075939	9913
