libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	pValueCutoff	meanIntergenic	sdIntergenic	speciesId
SRX5543986	0.212044	53.1158275005645	18820	35432	73.0350609050067	15769	21591	4.61194286697642	804	17433	0.05	0.0328236450140334	3.10855784042999	9544
SRX5543987	0.158931	52.3255813953488	18540	35432	73.5399008846279	15878	21591	4.48574542534274	782	17433	0.05	0.0238151082472924	3.17010874435795	9544
SRX5543988	0.166691	54.2278166629036	19214	35432	74.5217914871937	16090	21591	4.22761429472839	737	17433	0.05	0.025499568877515	3.12912530069799	9544
SRX5543989	0.192624	53.8806728381124	19091	35432	74.8552637673104	16162	21591	4.14730683187059	723	17433	0.05	0.030826305468304	3.04613613221596	9544
SRX5543990	0.2191641	53.4008805599458	18921	35432	73.7020054652401	15913	21591	4.48574542534274	782	17433	0.05	0.0328038823451324	3.1725978247416	9544
SRX5543991	0.264472	52.3509821630165	18549	35432	72.3356954286508	15618	21591	4.34807548901509	758	17433	0.05	0.0411712034918797	3.09747695545444	9544
SRX5543992	0.226014	52.8251298261459	18717	35432	73.0813764994674	15779	21591	4.36528423105604	761	17433	0.05	0.0352151819505152	3.09544346837696	9544
SRX5543993	0.23608	52.6981259878076	18672	35432	73.123060534482	15788	21591	4.39396546779097	766	17433	0.05	0.0369486834405968	3.08694654820452	9544
SRX5543994	0.1979488	52.2832467825694	18525	35432	72.7386411004585	15705	21591	4.48574542534274	782	17433	0.05	0.0316380059271745	3.04773471562926	9544
SRX5543995	0.204376	52.9126213592233	18748	35432	72.4839053309249	15650	21591	4.73240406126312	825	17433	0.05	0.0310137892189562	3.14637333531074	9544
SRX5543996	0.157754	51.8288552720704	18364	35432	72.5024315687092	15654	21591	4.58899787758848	800	17433	0.05	0.0238596418309504	3.15180361697879	9544
SRX5543997	0.242223	53.7423797696997	19042	35432	73.4472696957065	15858	21591	4.43985544656686	774	17433	0.05	0.0380960222315485	3.07831992362195	9544
SRX5543998	0.209864	53.6633551591781	19014	35432	74.2114770043073	16023	21591	4.55458039350657	794	17433	0.05	0.0334517683128067	3.05360035010219	9544
SRX5543999	0.225111	51.574847595394	18274	35432	71.6224352739567	15464	21591	4.53737165146561	791	17433	0.05	0.0333552006747588	3.19082215104848	9544
SRX5544000	0.175585	52.9577782795213	18764	35432	72.9377981566393	15748	21591	4.56031664085355	795	17433	0.05	0.0261696334126817	3.18068478573502	9544
SRX5544001	0.229804	53.2795213366448	18878	35432	72.4978000092631	15653	21591	4.50869041473068	786	17433	0.05	0.0340568465096585	3.19216475088318	9544
SRX5544002	0.156345	51.1063445473019	18108	35432	71.8401185679218	15511	21591	4.74961280330408	828	17433	0.05	0.0216618838826479	3.32548924914153	9544
SRX5544003	0.130985	54.5128697222849	19315	35432	75.744523180955	16354	21591	4.40543796248494	768	17433	0.05	0.0205575567071776	3.08277031774618	9544
SRX5544004	0.150904	52.5400767667645	18616	35432	73.4333750173683	15855	21591	4.61194286697642	804	17433	0.05	0.0237692361435658	3.07535686045912	9544
SRX5544005	0.307597	52.029239105893	18435	35432	71.0666481404289	15344	21591	4.35954798370906	760	17433	0.05	0.0464038942048897	3.15785045972495	9544
SRX5544006	0.35155	51.8711898848499	18379	35432	70.3487564262887	15189	21591	4.27350427350427	745	17433	0.05	0.053343853295258	3.14581307183522	9544
SRX5544007	0.161249	54.4902912621359	19307	35432	74.4245287388264	16069	21591	4.24482303676935	740	17433	0.05	0.0249202716361999	3.11094116316312	9544
SRX5544008	0.1255705	53.0650259652292	18802	35432	73.8687416052985	15949	21591	4.33086674697413	755	17433	0.05	0.0197021659671504	3.08300111238652	9544
SRX5544009	0.190303	54.6822081734026	19375	35432	75.387893103608	16277	21591	4.38822922044399	765	17433	0.05	0.0301087425424542	3.0673992880813	9544
SRX5544010	0.223338	55.511966583879	19669	35432	73.479690611829	15865	21591	4.04979062697184	706	17433	0.05	0.0371105227823506	2.97755538505978	9544
SRX5544011	0.169515	51.5212237525401	18255	35432	72.4839053309249	15650	21591	4.74961280330408	828	17433	0.05	0.0246930483080304	3.22579220662992	9544
SRX5544012	0.187282	52.3227590878302	18539	35432	72.4746422120328	15648	21591	4.74961280330408	828	17433	0.05	0.0269923006542028	3.24565742485479	9544
SRX5544013	0.149159	51.8599006547753	18375	35432	72.7154833032282	15700	21591	4.72666781391614	824	17433	0.05	0.0210759976446512	3.28600574893248	9544
SRX5544014	0.200412	52.3820275457214	18560	35432	72.7803251354731	15714	21591	4.48574542534274	782	17433	0.05	0.0301940742946049	3.16023864047777	9544
SRX5544015	0.220809	52.3904944682773	18563	35432	72.6228521143069	15680	21591	4.46853668330178	779	17433	0.05	0.0329252809888473	3.17900519113324	9544
SRX5544016	0.197058	53.6012643937683	18992	35432	73.2620073178639	15818	21591	4.382492973097	764	17433	0.05	0.0313483858764688	3.05717703866325	9544
SRX5544017	0.245317	54.62576202303	19355	35432	73.7159001435783	15916	21591	4.30792175758619	751	17433	0.05	0.0403770670927863	2.9947256140249	9544
SRX5544018	0.23007	54.9333935425604	19464	35432	74.609791116669	16109	21591	4.34807548901509	758	17433	0.05	0.0369858655239002	3.03809548993031	9544
SRX5544019	0.171702	52.4412960036126	18581	35432	73.2203232828493	15809	21591	4.45132794126083	776	17433	0.05	0.026029798745939	3.14680836255541	9544
SRX5544020	0.185404	51.6002483630616	18283	35432	72.2106433236071	15591	21591	4.45706418860781	777	17433	0.05	0.0287643953552686	3.10407971161109	9544
SRX5544021	0.153336	51.2841499209754	18171	35432	72.488536890371	15651	21591	4.17025182125853	727	17433	0.05	0.0233717749001654	3.13804947967665	9544
SRX5544022	0.248953	52.0320614134116	18436	35432	71.6780139873095	15476	21591	3.96948316411404	692	17433	0.05	0.0373071227028627	3.16795577022557	9544
SRX5544023	0.217616	52.218333709641	18502	35432	73.2990597934324	15826	21591	4.23908678942236	739	17433	0.05	0.0328498934133754	3.15638049331552	9544
SRX5544024	0.196041	52.0038383382253	18426	35432	72.632115233199	15682	21591	4.37102047840303	762	17433	0.05	0.0304219850811262	3.10388755062788	9544
SRX5544025	0.177218	52.2691352449763	18520	35432	72.8127460515956	15721	21591	4.62915160901738	807	17433	0.05	0.0273766365544532	3.1121764157459	9544
SRX5544026	0.186357	52.483630616392	18596	35432	72.8868510027326	15737	21591	4.49721792003671	784	17433	0.05	0.0291573835699506	3.08815424708646	9544
SRX5544027	0.273246	54.1770151275683	19196	35432	73.2527441989718	15816	21591	4.49721792003671	784	17433	0.05	0.0441258378013759	3.0297176018906	9544
SRX5544028	0.263004	53.5899751636938	18988	35432	72.6969570654439	15696	21591	4.45706418860781	777	17433	0.05	0.0425204823166366	3.02760584765142	9544
SRX5544029	0.240282	53.5222397832468	18964	35432	73.1184289750359	15787	21591	4.48000917799575	781	17433	0.05	0.0381388294366412	3.06117276053226	9544
SRX5544030	0.276956	53.3924136373899	18918	35432	72.5487471631698	15664	21591	4.43985544656686	774	17433	0.05	0.0452850728072858	3.00579193299504	9544
SRX5544031	0.245277	53.4968390155791	18955	35432	72.9239034783011	15745	21591	4.45132794126083	776	17433	0.05	0.0378919817386348	3.11247302505891	9544
