libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
SRX1482972	2855835	76	76	2530409	192827	88.6	6.8	37267	Tue Feb  6 17:04:25 2024	0.46.0
SRX1482973	7193309	76	76	6767001	1022204	94.1	14.2	37267	Tue Feb  6 17:04:51 2024	0.46.0
SRX1482974	6958000	76	76	6255251	312923	89.9	4.5	37267	Tue Feb  6 17:05:29 2024	0.46.0
SRX1482975	5332202	76	76	4989354	304963	93.6	5.7	37267	Tue Feb  6 17:06:07 2024	0.46.0
SRX1482976	4741050	76	76	4210584	306333	88.8	6.5	37267	Tue Feb  6 16:57:26 2024	0.46.0
SRX1482977	8354965	76	76	7245723	406507	86.7	4.9	37267	Tue Feb  6 16:57:57 2024	0.46.0
SRX1482978	8959528	76	76	7564374	340782	84.4	3.8	37267	Tue Feb  6 16:58:39 2024	0.46.0
SRX1482979	1962198	76	76	1701789	552664	86.7	28.2	37267	Tue Feb  6 16:59:25 2024	0.46.0
SRX1482980	9098658	76	76	5988233	257471	65.8	2.8	37267	Tue Feb  6 16:59:47 2024	0.46.0
SRX1482981	3298800	76	76	2493243	516607	75.6	15.7	37267	Tue Feb  6 17:00:34 2024	0.46.0
SRX1482982	5045981	76	76	4120590	243656	81.7	4.8	37267	Tue Feb  6 17:01:03 2024	0.46.0
SRX1482983	7395247	76	76	5970647	336039	80.7	4.5	37267	Tue Feb  6 17:01:37 2024	0.46.0
SRX1482984	6204461	76	76	5553299	237826	89.5	3.8	37267	Tue Feb  6 17:02:20 2024	0.46.0
SRX1482985	1910355	76	76	887564	260028	46.5	13.6	37267	Tue Feb  6 17:02:55 2024	0.46.0
SRX1482986	1013163	76	76	433377	88844	42.8	8.8	37267	Tue Feb  6 17:03:20 2024	0.46.0
SRX1482987	6243554	76	76	5099853	1256061	81.7	20.1	37267	Tue Feb  6 17:03:39 2024	0.46.0
SRX1482988	7378282	76	76	6825040	324383	92.5	4.4	37267	Tue Feb  6 17:04:18 2024	0.46.0
SRX1482989	6095777	76	76	5395521	1179632	88.5	19.4	37267	Tue Feb  6 17:04:59 2024	0.46.0
SRX1482990	1412745	76	76	740767	126171	52.4	8.9	37267	Tue Feb  6 17:05:36 2024	0.46.0
SRX1482991	6811601	76	76	6360489	263463	93.4	3.9	37267	Tue Feb  6 16:57:31 2024	0.46.0
SRX1482992	5934644	76	76	5373279	251497	90.5	4.2	37267	Tue Feb  6 16:58:06 2024	0.46.0
SRX1482993	6344740	76	76	5983596	281691	94.3	4.4	37267	Tue Feb  6 16:58:40 2024	0.46.0
SRX1482994	3445713	76	76	1562490	251604	45.3	7.3	37267	Tue Feb  6 16:59:15 2024	0.46.0
SRX1482995	7353367	76	76	6766940	350739	92	4.8	37267	Tue Feb  6 16:59:43 2024	0.46.0
SRX1482996	2992025	76	76	612306	116554	20.5	3.9	37267	Tue Feb  6 17:00:21 2024	0.46.0
SRX1482997	3685766	76	76	1845648	258607	50.1	7	37267	Tue Feb  6 17:00:47 2024	0.46.0
SRX1482998	7103404	76	76	6589941	314100	92.8	4.4	37267	Tue Feb  6 17:01:21 2024	0.46.0
SRX1482999	735270	76	76	527056	28648	71.7	3.9	37267	Tue Feb  6 17:01:59 2024	0.46.0
SRX1483000	6846365	76	76	6114568	330550	89.3	4.8	37267	Tue Feb  6 17:02:16 2024	0.46.0
SRX1483001	7870327	76	76	7379816	286751	93.8	3.6	37267	Tue Feb  6 17:02:52 2024	0.46.0
SRX1483002	2283551	76	76	1418952	243259	62.1	10.7	37267	Tue Feb  6 17:03:31 2024	0.46.0
SRX1483003	8382378	76	76	6389012	1511195	76.2	18	37267	Tue Feb  6 17:03:55 2024	0.46.0
SRX1483004	5388015	76	76	3746974	871013	69.5	16.2	37267	Tue Feb  6 17:04:48 2024	0.46.0
SRX1483005	2814884	76	76	862659	182237	30.6	6.5	37267	Tue Feb  6 17:05:27 2024	0.46.0
SRX1483006	4142371	76	76	2823853	822036	68.2	19.8	37267	Tue Feb  6 16:57:18 2024	0.46.0
SRX1483007	3471512	76	76	2530787	423664	72.9	12.2	37267	Tue Feb  6 16:57:53 2024	0.46.0
SRX1483008	2353784	76	76	934287	184737	39.7	7.8	37267	Tue Feb  6 16:58:20 2024	0.46.0
SRX1483009	5793474	76	76	5452348	220417	94.1	3.8	37267	Tue Feb  6 16:58:46 2024	0.46.0
SRX1483010	8476566	76	76	7410277	316822	87.4	3.7	37267	Tue Feb  6 16:59:18 2024	0.46.0
SRX1483011	5014749	76	76	4533047	151309	90.4	3	37267	Tue Feb  6 16:59:58 2024	0.46.0
SRX1483012	5499573	76	76	5001028	214516	90.9	3.9	37267	Tue Feb  6 17:00:29 2024	0.46.0
SRX1483013	4825733	76	76	4434865	227217	91.9	4.7	37267	Tue Feb  6 17:01:02 2024	0.46.0
SRX1483014	5446539	76	76	4947147	242770	90.8	4.5	37267	Tue Feb  6 17:01:33 2024	0.46.0
SRX1483015	7161552	76	76	6595861	284785	92.1	4	37267	Tue Feb  6 17:02:05 2024	0.46.0
SRX1483016	5942493	76	76	2663560	208348	44.8	3.5	37267	Tue Feb  6 17:02:40 2024	0.46.0
SRX1483017	7242701	76	76	6687348	259763	92.3	3.6	37267	Tue Feb  6 17:03:20 2024	0.46.0
SRX1483018	10832156	76	76	9712832	404822	89.7	3.7	37267	Tue Feb  6 17:03:56 2024	0.46.0
SRX1483019	2523007	76	76	1820809	550413	72.2	21.8	37267	Tue Feb  6 17:04:42 2024	0.46.0
SRX1483020	3438479	76	76	2906074	239482	84.5	7	37267	Tue Feb  6 17:05:06 2024	0.46.0
SRX1483021	7169572	76	76	6501138	256903	90.7	3.6	37267	Tue Feb  6 16:57:24 2024	0.46.0
SRX1483022	5041634	76	76	2229386	131164	44.2	2.6	37267	Tue Feb  6 16:58:01 2024	0.46.0
