libraryId	min_read_length	max_read_length	average_read_length
SRX054462	101.0	101.0	101.0
SRX109254	76.0	76.0	76.0
SRX109255	76.0	76.0	76.0
SRX109256	76.0	76.0	76.0
SRX109260	76.0	76.0	76.0
SRX109261	76.0	76.0	76.0
SRX109262	76.0	76.0	76.0
SRX109263	76.0	76.0	76.0
SRX109264	76.0	76.0	76.0
SRX109265	76.0	76.0	76.0
SRX109266	100.0	100.0	100.0
SRX109267	100.0	100.0	100.0
SRX109268	100.0	100.0	100.0
SRX109269	100.0	100.0	100.0
SRX109271	100.0	100.0	100.0
SRX109272	100.0	100.0	100.0
SRX109273	100.0	100.0	100.0
SRX109274	100.0	100.0	100.0
SRX109275	100.0	100.0	100.0
SRX109276	100.0	100.0	100.0
SRX109277	100.0	100.0	100.0
SRX109278	100.0	100.0	100.0
SRX109279	100.0	100.0	100.0
SRX109280	100.0	100.0	100.0
SRX109281	100.0	100.0	100.0
SRX109282	100.0	100.0	100.0
SRX109284	100.0	100.0	100.0
SRX109285	100.0	100.0	100.0
SRX109286	100.0	100.0	100.0
SRX109287	100.0	100.0	100.0
SRX109288	100.0	100.0	100.0
SRX109289	100.0	100.0	100.0
SRX109290	100.0	100.0	100.0
SRX109292	100.0	100.0	100.0
SRX109293	100.0	100.0	100.0
SRX109294	100.0	100.0	100.0
SRX109295	100.0	100.0	100.0
SRX109296	100.0	100.0	100.0
SRX109297	100.0	100.0	100.0
SRX109300	100.0	100.0	100.0
SRX109301	100.0	100.0	100.0
SRX109302	100.0	100.0	100.0
SRX109303	100.0	100.0	100.0
SRX109304	100.0	100.0	100.0
SRX109305	100.0	100.0	100.0
SRX109306	100.0	100.0	100.0
SRX109307	100.0	100.0	100.0
SRX109308	100.0	100.0	100.0
SRX109309	100.0	100.0	100.0
SRX109310	100.0	100.0	100.0
SRX109311	100.0	100.0	100.0
SRX122590	76.0	76.0	76.0
SRX122591	76.0	76.0	76.0
SRX122592	76.0	76.0	76.0
SRX122593	76.0	76.0	76.0
SRX122594	76.0	76.0	76.0
SRX122595	76.0	76.0	76.0
SRX122596	76.0	76.0	76.0
SRX122597	76.0	76.0	76.0
SRX122598	76.0	76.0	76.0
SRX122599	76.0	76.0	76.0
SRX122600	76.0	76.0	76.0
SRX122601	76.0	76.0	76.0
SRX1482931	76.0	76.0	76.0
SRX1482932	76.0	76.0	76.0
SRX1482933	76.0	76.0	76.0
SRX1482934	76.0	76.0	76.0
SRX1482935	76.0	76.0	76.0
SRX1482936	76.0	76.0	76.0
SRX1482937	76.0	76.0	76.0
SRX1482938	76.0	76.0	76.0
SRX1482939	76.0	76.0	76.0
SRX1482940	76.0	76.0	76.0
SRX1482941	76.0	76.0	76.0
SRX1482942	76.0	76.0	76.0
SRX1482943	76.0	76.0	76.0
SRX1482944	76.0	76.0	76.0
SRX1482945	76.0	76.0	76.0
SRX1482946	76.0	76.0	76.0
SRX1482947	76.0	76.0	76.0
SRX1482948	76.0	76.0	76.0
SRX1482949	76.0	76.0	76.0
SRX1482950	76.0	76.0	76.0
SRX1482951	76.0	76.0	76.0
SRX1482952	76.0	76.0	76.0
SRX1482953	76.0	76.0	76.0
SRX1482954	76.0	76.0	76.0
