speciesId	genus	species	speciesCommonName	displayOrder	genomeFilePath	genomeVersion	dataSourceId	genomeSpeciesId	fakeGeneIdPrefix	keywords	comment
6239	caenorhabditis	elegans	C.elegans		caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235	WBcel235	2	6239		celegans|elegans|caenorhabditis_elegans_prjna13758|cele|caeele|c.elegans	
91951	catharus	ustulatus	Swainson's thrush		catharus_ustulatus/Catharus_ustulatus.bCatUst1.pri	bCatUst1.pri	2	91951			
7918	lepisosteus	oculatus	Spotted gar		lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1	LepOcu1	2	7918		lepocu|spotted gar|locu|loculatus|7918|lepisosteus oculatus	
8019	oncorhynchus	kisutch	coho salmon		oncorhynchus_kisutch/Oncorhynchus_kisutch.Okis_V2	Okis_V2	2	8019			
9685	felis	catus	domestic cat		felis_catus/Felis_catus.Felis_catus_9.0	Felis_catus_9.0	2	9685		9685|domestic cat|cat|felcat|felis catus|fcatus|fcat	
59894	ficedula	albicollis	Collared flycatcher		ficedula_albicollis/Ficedula_albicollis.FicAlb1.5	FicAlb1.5	2	59894			
96440	salvator	merianae	Argentine black and white tegu		salvator_merianae/Salvator_merianae.HLtupMer3	HLtupMer3	2	96440			
55149	sciurus	vulgaris	Eurasian red squirrel		sciurus_vulgaris/Sciurus_vulgaris.mSciVul1.1	mSciVul1.1	2	55149			
8845	anser	cygnoides	swan goose		anser_cygnoides/Anser_cygnoides.GooseV1.0	GooseV1.0	2	8845			
13146	melopsittacus	undulatus	budgerigar		melopsittacus_undulatus/Melopsittacus_undulatus.bMelUnd1.mat.Z	bMelUnd1.mat.Z	2	13146			
375764	sphaeramia	orbicularis	orbiculate cardinalfish		sphaeramia_orbicularis/Sphaeramia_orbicularis.fSphaOr1.1	fSphaOr1.1	2	375764			
80966	acanthochromis	polyacanthus	spiny chromis		acanthochromis_polyacanthus/Acanthochromis_polyacanthus.ASM210954v1	ASM210954v1	2	80966			
1026970	nannospalax	galili	Upper Galilee mountains blind mole rat		nannospalax_galili/Nannospalax_galili.S.galili_v1.0	S.galili_v1.0	2	1026970		ngal|nannospalax galili|ngalili|upper galilee mountains blind mole rat|nangal|1026970	
2587831	terrapene carolina	triunguis	Three-toed box turtle		terrapene_carolina_triunguis/Terrapene_carolina_triunguis.T_m_triunguis-2.0	T_m_triunguis-2.0	2	2587831			
61853	nomascus	leucogenys	Northern white-cheeked gibbon		nomascus_leucogenys/Nomascus_leucogenys.Nleu_3.0	Nleu_3.0	2	61853		nomascus leucogenys|northern white-cheeked gibbon|nomleu|61853|gibbon|nleu|nleucogenys	
