libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
ERX1226399	2126612	125	125	1710352	768963	80.4	36.2	339952	Thu Jul 10 17:09:01 2025	0.51.0
ERX1226400	1875682	125	125	1553890	666546	82.8	35.5	339952	Thu Jul 10 17:10:58 2025	0.51.0
ERX1226401	2155996	125	125	1857889	776543	86.2	36	339952	Thu Jul 10 17:12:53 2025	0.51.0
ERX1226402	1163918	125	125	1000855	407118	86	35	339952	Thu Jul 10 17:14:49 2025	0.51.0
ERX1226403	1843822	125	125	1514548	605719	82.1	32.9	339952	Thu Jul 10 17:16:20 2025	0.51.0
ERX1226404	2481266	125	125	2105377	891882	84.9	35.9	339952	Thu Jul 10 17:18:20 2025	0.51.0
ERX1226405	3038431	125	125	2498103	1143754	82.2	37.6	339952	Thu Jul 10 17:20:26 2025	0.51.0
ERX1226406	3269689	125	125	2748551	1124548	84.1	34.4	339952	Thu Jul 10 17:22:53 2025	0.51.0
ERX1226407	2482978	125	125	2177451	948746	87.7	38.2	339952	Thu Jul 10 17:25:15 2025	0.51.0
ERX1226408	2766017	125	125	2276126	875869	82.3	31.7	339952	Thu Jul 10 17:27:10 2025	0.51.0
ERX1226409	1315900	125	125	1084555	477291	82.4	36.3	339952	Thu Jul 10 17:29:38 2025	0.51.0
ERX1226410	2010771	125	125	1707864	725074	84.9	36.1	339952	Thu Jul 10 17:31:12 2025	0.51.0
ERX1226411	2522634	125	125	2131532	899150	84.5	35.6	339952	Thu Jul 10 17:33:02 2025	0.51.0
ERX1226412	1648433	125	125	1379435	614125	83.7	37.3	339952	Thu Jul 10 17:35:05 2025	0.51.0
