libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	pValueCutoff	meanIntergenic	sdIntergenic	speciesId
SRX3807095	2.7961	4.93336036081691	3894	78932	11.060847086896	2225	20116	0	0	47386	0.05	4.17354222947105	3.05936371130492	9606
SRX3807096	1.07825e-07	5.43885876450616	4293	78932	16.056870153112	3230	20116	0	0	47386	0.05	2.36495734205818	2.57203243360386	9606
SRX3807097	2.32346e-09	5.85820706430852	4624	78932	16.5788427122688	3335	20116	0	0	47386	0.05	2.50720874837432	2.80044901419751	9606
SRX3807098	6.24259e-08	5.63649723812902	4449	78932	14.5953469874727	2936	20116	0	0	47386	0.05	2.96256716508781	2.80325092707051	9606
SRX3807099	6.2918	4.92322505447727	3886	78932	10.8222310598529	2177	20116	0	0	47386	0.05	5.93531029863294	2.93118468688056	9606
SRX3807100	3.31289	6.77545228804541	5348	78932	17.0809306025055	3436	20116	0	0	47386	0.05	3.84910554151344	2.62701328927801	9606
SRX3807101	3.36039e-07	2.72893123194649	2154	78932	6.70113342612846	1348	20116	0	0	47386	0.05	2.23610525875366	2.45610650843881	9606
SRX3807102	0.909815	4.95109714691127	3908	78932	11.1403857625771	2241	20116	0	0	47386	0.05	2.01860390743971	3.19134431696417	9606
SRX3807103	1.2571e-08	4.76992854609031	3765	78932	12.0103400278385	2416	20116	0	0	47386	0.05	4.75976185006645	2.94205359027983	9606
SRX3807104	2.57158e-09	4.82947347083566	3812	78932	12.8554384569497	2586	20116	0	0	47386	0.05	1.69777463157287	2.75586779834459	9606
SRX3807105	0.89788	5.27035929660974	4160	78932	11.5331079737522	2320	20116	0	0	47386	0.05	0.925741116214754	3.17616151732366	9606
SRX3807106	3.1063	3.81594283687224	3012	78932	8.17259892622788	1644	20116	0	0	47386	0.05	4.63592007916168	3.1114840053887	9606
SRX3807107	0.738757	5.69984290275174	4499	78932	14.1777689401471	2852	20116	0	0	47386	0.05	3.2275959474753	2.77822396305967	9606
SRX3807108	2.80963	4.08832919474991	3227	78932	8.83873533505667	1778	20116	0	0	47386	0.05	2.88341784580851	3.4396774843025	9606
SRX3807109	6.64509	5.10566056859069	4030	78932	11.0509047524359	2223	20116	0	0	47386	0.05	3.3879223432138	3.4906976623943	9606
SRX3807110	2.255375	4.50387675467491	3555	78932	9.1966593756214	1850	20116	0	0	47386	0.05	1.31568178089188	3.58175212536976	9606
SRX3807111	3.5154500205293	5.04231490396797	3980	78932	11.6921853251143	2352	20116	0	0	47386	0.05	3.61412170243814	3.17718133257455	9606
SRX3807112	6.10269e-08	4.85987938985456	3836	78932	13.3774110161066	2691	20116	0	0	47386	0.05	2.83851749452224	2.33435879042031	9606
SRX3807113	2.12918	4.62676734404297	3652	78932	10.0815271425731	2028	20116	0	0	47386	0.05	2.76976586361291	3.1277039315198	9606
SRX3807114	4.41059	5.00684133177925	3952	78932	10.7774905547823	2168	20116	0	0	47386	0.05	3.05029384671117	3.27286038597406	9606
SRX3807115	1.16714	5.79739522627071	4576	78932	14.2622787830583	2869	20116	0	0	47386	0.05	2.52917975316809	2.77401154866294	9606
SRX3807116	2.69223	4.96756701971317	3921	78932	11.6872141578843	2351	20116	0	0	47386	0.05	3.53150988911386	3.17461645580321	9606
SRX3807117	1.270496	5.38058075305326	4247	78932	12.5323125869954	2521	20116	0	0	47386	0.05	1.21323000913304	3.45041857739471	9606
SRX3807118	3.00435	5.71124512238382	4508	78932	13.9590375820243	2808	20116	0	0	47386	0.05	4.16700363483278	2.69599984144423	9606
SRX3807119	1.4724	4.90802209496782	3874	78932	11.3342612845496	2280	20116	0	0	47386	0.05	2.65028789829735	3.15978959290462	9606
