sample_accession	experiment_id	library_id	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
SAMN16742501	SRP292191	SRX9477972	SRR13032798	3266372	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/098/SRR13032798/SRR13032798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/098/SRR13032798/SRR13032798_2.fastq.gz	NA
SAMN16742527	SRP292191	SRX9477985	SRR13032811	1066566	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/011/SRR13032811/SRR13032811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/011/SRR13032811/SRR13032811_2.fastq.gz	NA
SAMN16744661	SRP292191	SRX9478008	SRR13026652	1064239	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/052/SRR13026652/SRR13026652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/052/SRR13026652/SRR13026652_2.fastq.gz	NA
SAMN16744159	SRP292191	SRX9478031	SRR13031561	2370572	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/061/SRR13031561/SRR13031561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/061/SRR13031561/SRR13031561_2.fastq.gz	NA
SAMN16744631	SRP292191	SRX9478677	SRR13027127	342845	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/027/SRR13027127/SRR13027127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/027/SRR13027127/SRR13027127_2.fastq.gz	NA
SAMN16744622	SRP292191	SRX9478684	SRR13027134	319989	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/034/SRR13027134/SRR13027134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/034/SRR13027134/SRR13027134_2.fastq.gz	NA
SAMN16744306	SRP292191	SRX9478705	SRR13032123	2063404	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/023/SRR13032123/SRR13032123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/023/SRR13032123/SRR13032123_2.fastq.gz	NA
SAMN16743938	SRP292191	SRX9478730	SRR13032148	2499355	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/048/SRR13032148/SRR13032148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/048/SRR13032148/SRR13032148_2.fastq.gz	NA
SAMN16740749	SRP292191	SRX9479236	SRR13030126	787296	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/026/SRR13030126/SRR13030126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/026/SRR13030126/SRR13030126_2.fastq.gz	NA
SAMN16743430	SRP292191	SRX9479262	SRR13034651	2892570	7227	Drosophila melanogaster	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/051/SRR13034651/SRR13034651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/051/SRR13034651/SRR13034651_2.fastq.gz	NA
