libraryId	reads	min_read_size	max_read_size	number_aligned	number_unique_aligned	prop_aligned	prop_unique_aligned	number_targets	start_time	kallisto_version
ERX3581458	304736816	26	98	195107031	47118639	64	15.5	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581459	333353492	26	98	230885596	37015110	69.3	11.1	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581460	327219641	26	98	207883509	48683733	63.5	14.9	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581461	342442312	26	98	238823322	36616361	69.7	10.7	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581464	354342913	26	98	232849655	51177135	65.7	14.4	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581465	356365669	26	98	231353032	50953529	64.9	14.3	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581466	367082485	26	98	231399173	47250714	63	12.9	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581467	371523984	26	98	258333062	67376374	69.5	18.1	0	Fri Jan 12 12:03:34 2024	0.46.0
ERX3581468	358161766	26	98	246140542	63947791	68.7	17.9	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581469	366746640	26	98	252584078	65583709	68.9	17.9	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581470	350285008	26	98	244502258	39866238	69.8	11.4	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581471	364975085	26	98	255893764	41374763	70.1	11.3	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581472	367283804	26	98	246617838	62169040	67.1	16.9	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581473	368573813	26	98	261406025	42555487	70.9	11.5	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581474	358635695	26	98	221409060	52396049	61.7	14.6	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581475	346812518	26	98	211103447	44796321	60.9	12.9	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581476	312963416	26	98	225558690	10844640	72.1	3.5	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581478	349542311	26	98	238436185	53162079	68.2	15.2	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581479	348411738	26	98	217226777	43552657	62.3	12.5	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581480	352595415	26	98	221313940	44607140	62.8	12.7	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581481	352599162	26	98	247795649	66154802	70.3	18.8	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581482	372144054	26	98	262788280	70478164	70.6	18.9	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581483	370965916	26	98	269947279	47216786	72.8	12.7	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581484	368161240	26	98	266416202	46104275	72.4	12.5	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581486	372695517	26	98	246655287	60240442	66.2	16.2	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581487	387483618	26	98	258932950	63264252	66.8	16.3	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581488	382560642	26	98	268068246	42036521	70.1	11	0	Fri Jan 12 12:03:34 2024	0.46.0
ERX3581489	383297123	26	98	250372034	49013609	65.3	12.8	0	Fri Jan 12 12:03:34 2024	0.46.0
ERX3581490	374642504	26	98	233459353	42724750	62.3	11.4	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581491	377122282	26	98	240432849	45439714	63.8	12	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581493	362820680	26	98	239971255	43479461	66.1	12	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581494	357767724	26	98	281367605	60371746	78.6	16.9	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581495	369617109	26	98	295038324	66483218	79.8	18	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581496	376516758	26	98	280735666	54018952	74.6	14.3	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581497	333465773	26	98	243248340	48337708	72.9	14.5	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581498	385997941	26	98	284716004	56887990	73.8	14.7	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581499	370081593	26	96	256810843	73029979	69.4	19.7	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581500	405630844	26	96	288040813	78431220	71	19.3	0	Fri Jan 12 12:03:33 2024	0.46.0
ERX3581501	384892866	26	96	287198229	38413846	74.6	10	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581502	371433513	26	96	274406266	37300028	73.9	10	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581504	382216031	26	96	236495382	55534622	61.9	14.5	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581505	338743831	26	98	243554692	33860768	71.9	10	0	Fri Jan 12 12:03:32 2024	0.46.0
ERX3581508	351650135	26	98	221347037	44436957	62.9	12.6	0	Fri Jan 12 12:03:31 2024	0.46.0
ERX3581509	345193005	26	98	245122460	34953548	71	10.1	0	Fri Jan 12 12:03:30 2024	0.46.0
ERX3581510	381130276	26	98	275172177	53545386	72.2	14	0	Fri Jan 12 12:03:32 2024	0.46.0
