libraryId	experimentId	cellTypeName	cellTypeId	speciesId	platform	whiteList	protocol	protocolType	name_sample_id	infoOrgan	stageId	uberonId	sex	strain	libraryType	organism
SRX1788065	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788066	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788067	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788068	SRP075496	pancreatic A cell	CL:0000171	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0000006	M	White	PAIRED	Homo_sapiens
SRX1788069	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788070	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788071	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788072	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788074	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
SRX1788075	SRP075496	somatic cell	CL:0002371	9606	NextSeq 500	NA	SMART_seq2	Full-length	NA	Pancreatic islet	HsapDv:0000115	UBERON:0001264	M	White	PAIRED	Homo_sapiens
