libraryId	min_read_length	max_read_length	average_read_length
ERX1227061	125	125	125
ERX1227062	125	125	125
ERX1227063	125	125	125
ERX1227064	125	125	125
ERX1227065	125	125	125
ERX1227066	125	125	125
ERX1227067	125	125	125
ERX1227068	125	125	125
ERX1227069	125	125	125
ERX1227070	125	125	125
ERX1227071	125	125	125
ERX1227072	125	125	125
ERX1227073	125	125	125
ERX1227074	125	125	125
ERX1227075	125	125	125
ERX1227076	125	125	125
ERX1227077	125	125	125
ERX1227078	125	125	125
ERX1227079	125	125	125
ERX1227080	125	125	125
ERX1227081	125	125	125
ERX1227082	125	125	125
ERX1227083	125	125	125
ERX1227084	125	125	125
ERX1227085	125	125	125
ERX1227086	125	125	125
ERX1227087	125	125	125
ERX1227088	125	125	125
ERX1227089	125	125	125
ERX1227090	125	125	125
ERX1227091	125	125	125
ERX1227092	125	125	125
ERX1227093	125	125	125
ERX1227094	125	125	125
ERX1227095	125	125	125
ERX1227096	125	125	125
ERX1227097	125	125	125
ERX1227098	125	125	125
ERX1227099	125	125	125
ERX1227100	125	125	125
ERX1227101	125	125	125
ERX1227102	125	125	125
ERX1227103	125	125	125
ERX1227104	125	125	125
ERX1227105	125	125	125
ERX1227106	125	125	125
ERX1227107	125	125	125
ERX1227108	125	125	125
ERX1227109	125	125	125
ERX1227110	125	125	125
ERX1227111	125	125	125
ERX1227112	125	125	125
ERX1227113	125	125	125
ERX1227114	125	125	125
ERX1227115	125	125	125
ERX1227116	125	125	125
ERX1227117	125	125	125
ERX1227118	125	125	125
ERX1227119	125	125	125
ERX1227120	125	125	125
ERX1227121	125	125	125
ERX1227122	125	125	125
ERX1227123	125	125	125
ERX1227124	125	125	125
ERX1227125	125	125	125
ERX1227126	125	125	125
ERX1227127	125	125	125
ERX1227128	125	125	125
ERX1227129	125	125	125
ERX1227130	125	125	125
ERX1227131	125	125	125
ERX1227132	125	125	125
ERX1227133	125	125	125
ERX1227134	125	125	125
ERX1227135	125	125	125
ERX1227136	125	125	125
ERX1227137	125	125	125
ERX1227138	125	125	125
ERX1227139	125	125	125
ERX1227140	125	125	125
ERX1227141	125	125	125
ERX1227142	125	125	125
ERX1227143	125	125	125
ERX1227144	125	125	125
ERX1227145	125	125	125
ERX1227146	125	125	125
ERX1227147	125	125	125
ERX1227148	125	125	125
ERX1227149	125	125	125
ERX1227150	125	125	125
ERX1227151	125	125	125
ERX1227152	125	125	125
ERX1227153	125	125	125
ERX1227154	125	125	125
ERX1227155	125	125	125
ERX1227156	125	125	125
ERX1227157	125	125	125
ERX1227158	125	125	125
ERX1227159	125	125	125
ERX1227160	125	125	125
ERX1227161	125	125	125
ERX1227162	125	125	125
ERX1227163	125	125	125
ERX1227164	125	125	125
ERX1227165	125	125	125
ERX1227166	125	125	125
ERX1227167	125	125	125
ERX1227168	125	125	125
ERX1227169	125	125	125
