speciesId	genus	species	speciesCommonName	displayOrder	genomeFilePath	genomeVersion	dataSourceId	genomeSpeciesId	fakeGeneIdPrefix	keywords	comment
13616	Monodelphis	domestica	opossum	19	monodelphis_domestica/Monodelphis_domestica.BROADO5	monDom5	2	13616		MONDO|gray short-tailed opossum|gray short tailed opossum	
9258	Ornithorhynchus	anatinus	platypus	20	ornithorhynchus_anatinus/Ornithorhynchus_anatinus.OANA5	OANA5	2	9258		ORNAN|duckbill platypus|duck-billed platypus	
9031	Gallus	gallus	chicken	21	gallus_gallus/Gallus_gallus.Galgal4	Galgal4	2	9031		CHICK|Gallus domesticus|Gallus gallus domesticus|bantam|red junglefowl|red jungle fowl	
28377	Anolis	carolinensis	green anole	22	anolis_carolinensis/Anolis_carolinensis.AnoCar2.0	AnoCar2.0	2	28377		ANOCA|anolis|carolina anole	
8364	Xenopus	tropicalis	western clawed frog	23	xenopus_tropicalis/Xenopus_tropicalis.JGI_4.2	JGI 4.2	2	8364		XENTR|xenopus	
7217	Drosophila	ananassae		24	drosophila_ananassae/Drosophila_ananassae.GCA_000005115.1	GCA_000005115.1	24	7217		DROAN	
7230	Drosophila	mojavensis		25	drosophila_mojavensis/Drosophila_mojavensis.GCA_000005175.1	GCA_000005175.1	24	7230		DROMO	
7237	Drosophila	pseudoobscura		26	drosophila_pseudoobscura/Drosophila_pseudoobscura.GCA_000001765.2	GCA_000001765.2	24	7237			
7240	Drosophila	simulans		27	drosophila_simulans/Drosophila_simulans.GCA_000259055.1	GCA_000259055.1	24	7240		DROSI	
7244	Drosophila	virilis		28	drosophila_virilis/Drosophila_virilis.GCA_000005245.1	GCA_000005245.1	24	7244		DROVI	
7245	Drosophila	yakuba		29	drosophila_yakuba/Drosophila_yakuba.GCA_000005975.1	GCA_000005975.1	24	7245		DROYA	
7091	Bombyx	mori	Silk moth					7091		BOMMO|domestic silkworm|silkworm	
7220	Drosophila	erecta	Fruit fly					7220		DROER	
7460	Apis	mellifera	Honeybee					7460		APIME|Apis mellifica|European honey bee|Western honey bee|bee|honey bee	
7719	Ciona	intestinalis	Transparent sea squirt					7719		CIOIN|sea vase|vase tunicate|yellow sea squirt	
7740	Branchiostoma	lanceolatum	Common lancelet					7740		BRALA|amphioxus|amphoxius	
7897	Latimeria	chalumnae	Coelacanth					7897		LATCH	
7918	Lepisosteus	oculatus	Spotted gar					7918		LEPOC	
7936	Anguilla	anguilla	European freshwater eel					7936		ANGAN|Angill angill|Anguilla anguilla anguilla|European eel|Muraena anguilla	
7994	Astyanax	mexicanus	Blind cave fish					7994		ASTMX|Mexican tetra	
7998	Ictalurus	punctatus	Channel catfish					7998		ICTPU|Ictalurus punetaus|Ietalurus punetaus|Letalurus punetaus|Silurus punctatus	
8010	Esox	lucius	Northern pike					8010		ESOLU	
8030	Salmo	salar	Atlantic salmon					8030		SALSA	
8049	Gadus	morhua	Atlantic cod					8049		GADMO	
8081	Poecilia	reticulata	Guppy					8081		Acanthophacelus reticulata|POERE|Poecilia (Acanthophacelus) reticulata|Poecilia latipinna reticulata	
8090	Oryzias	latipes	Japanese rice fish					8090		Japanese medaka|ORYLA|Orizias latipes|Poecilia latipes|medaka	
8128	Oreochromis	niloticus	Nile tilapia					8128		ORENI|Oreochromis nilotica	
8154	Astatotilapia	calliptera	Eastern happy					8154		ASTCA|Ctenochromis callipterus|Haplochromis calliptera|Haplochromis callipterus	
8355	Xenopus	laevis	African clawed frog					8355		Bufo laevis|XENLA|Xenopus leavis|clawed frog|common platanna|platanna	
